PROVINSI;TAHUN;KEJADIAN BANJIR;RUSAK BERAT;RUSAK SEDANG;RUSAK RINGAN;TERENDAM;CURAH HUJAN;HARI HUJAN
Sulawesi Utara;2014;9;499;49;581;2.654;2.835;229
Sulawesi Tengah;2014;24;66;2;73;2.144;705;167
Sulawesi Selatan;2014;18;14;0;207;28.532;2.739;190
Sulawesi Tenggara;2014;5;7;0;2;399;2.264;172
Gorontalo;2014;6;14;0;0;1.087;1.404;152
Sulawesi Barat;2014;3;0;0;0;405;1.097;153
Maluku;2014;4;57;54;1;346;2.593;229
Maluku Utara;2014;;;;;;1.811;183
Papua Barat;2014;1;0;0;0;120;2.825;231
Papua;2014;2;15;0;40;0;2.731;202
Aceh;2015;63;192;91;1.043;29.652;1.575;146
Sumatera Utara;2015;29;61;38;113;18.268;976;105
Sumatera Barat;2015;26;31;35;650;4.628;3.548;185
Riau;2015;9;16;0;4;3.374;2.048;140
Jambi;2015;9;3;5;6;1.447;1.695;135
Sumatera Selatan;2015;26;1;0;3;4.997;1.947;138
Bengkulu;2015;12;1;0;0;490;2.669;166
Lampung;2015;12;2;0;166;1.371;1.628;151
Kepulauan Bangka Belitung;2015;2;0;0;0;147;1.535;163
Kepulauan Riau;2015;1;0;0;0;20;2.251;174
DKI Jakarta;2015;5;0;0;0;0;2.170;121
Jawa Barat;2015;36;57;2;8;9.530;2.199;177
Jawa Tengah;2015;59;88;73;174;11.612;1.621;140
DI Yogyakarta;2015;3;0;1;1;2;2.046;119
Jawa Timur;2015;87;103;72;369;16.723;2.025;133
Banten;2015;25;7;0;0;16.534;1.310;155
Bali;2015;;;;;;1.134;124
Nusa Tenggara Barat;2015;10;46;10;0;8.688;1.148;91
Nusa Tenggara Timur;2015;7;17;0;0;1.411;1.406;82
Kalimantan Barat;2015;9;0;1;0;7.847;2.758;215
Kalimantan Tengah;2015;4;0;0;0;2.100;2.748;155
Kalimantan Selatan;2015;3;0;0;0;2.200;2.510;166
Kalimantan Timur;2015;25;44;0;1;5.342;2.069;186
Kalimantan Utara;2015;6;1;0;0;500;2.312;202
Sulawesi Utara;2015;7;6;0;37;4.257;1.807;127
Sulawesi Tengah;2015;11;62;0;73;1.701;461;68
Sulawesi Selatan;2015;14;16;0;1;23.303;3.382;155
Sulawesi Tenggara;2015;3;12;0;0;682;1.590;141
Gorontalo;2015;13;3;0;1;2.706;871;76
Sulawesi Barat;2015;2;4;0;0;37;1.168;93
Maluku;2015;2;0;1;44;0;1.987;167
Maluku Utara;2015;1;0;0;1;228;913;127
Papua Barat;2015;;;;;;2.845;218
Papua;2015;4;5;0;0;475;1.266;168
